_geojson,flow,cost,type,fid,v/c
"{""type"":""Feature"",""properties"":{""flow"":8332.548565210858,""cost"":0,""type"":""pedestrian_path"",""fid"":11,""v/c"":2.7775161884036192},""geometry"":{""type"":""LineString"",""coordinates"":[[151.214376,-33.8579362,0],[151.2148558,-33.8580316,0],[151.2152794,-33.8581134,0],[151.2153,-33.8581184,0],[151.2154045,-33.85815569999998,0]]}}",8332.548565210858,0,pedestrian_path,11,2.7775161884036192
"{""type"":""Feature"",""properties"":{""flow"":299.75406058801036,""cost"":0,""type"":""pedestrian_path"",""fid"":12,""v/c"":0.09991802019600346},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2091952,-33.8563885,0],[151.2092325,-33.856592,0],[151.2093016,-33.85680459999998,0],[151.2095179,-33.8571051,0],[151.2095973,-33.8571637,0],[151.209703,-33.8572231,0],[151.2098042220162,-33.857202301192785,0]]}}",299.75406058801036,0,pedestrian_path,12,0.09991802019600346
"{""type"":""Feature"",""properties"":{""flow"":17442.834490117722,""cost"":0,""type"":""pedestrian_path"",""fid"":13,""v/c"":5.814278163372574},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2095702,-33.8613841,0],[151.2095702,-33.8613841,0],[151.2092523,-33.8613545,0]]}}",17442.834490117722,0,pedestrian_path,13,5.814278163372574
"{""type"":""Feature"",""properties"":{""flow"":20370.76016141301,""cost"":0,""type"":""pedestrian_path"",""fid"":14,""v/c"":6.79025338713767},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2092523,-33.8613545,0],[151.2092523,-33.8613545,0],[151.2085429,-33.8612888,0],[151.2085429,-33.8612888,0]]}}",20370.76016141301,0,pedestrian_path,14,6.79025338713767
"{""type"":""Feature"",""properties"":{""flow"":32989.777289209465,""cost"":0,""type"":""pedestrian_path"",""fid"":15,""v/c"":10.996592429736488},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2095565,-33.8609612,0],[151.2095565,-33.8609612,0],[151.2095366,-33.8609076,0],[151.2095232,-33.8608497,0],[151.2095205,-33.8607595,0],[151.2095455,-33.8606028,0],[151.2095635,-33.8604772,0],[151.2095713,-33.860423,0],[151.2096907,-33.8597572,0],[151.2097544,-33.8594727,0],[151.2097574,-33.8594671,0],[151.2097574,-33.8594671,0]]}}",32989.777289209465,0,pedestrian_path,15,10.996592429736488
"{""type"":""Feature"",""properties"":{""flow"":25792.978607269055,""cost"":0,""type"":""pedestrian_path"",""fid"":16,""v/c"":8.597659535756351},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2094169,-33.859397,0],[151.2095051,-33.8594151,0],[151.2097574,-33.8594671,0]]}}",25792.978607269055,0,pedestrian_path,16,8.597659535756351
"{""type"":""Feature"",""properties"":{""flow"":8332.548565210858,""cost"":0,""type"":""pedestrian_path"",""fid"":17,""v/c"":2.7775161884036192},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2141901,-33.8579005,0],[151.2142567,-33.857912699999986,0],[151.2143023,-33.8579217,0],[151.214376,-33.8579362,0]]}}",8332.548565210858,0,pedestrian_path,17,2.7775161884036192
"{""type"":""Feature"",""properties"":{""flow"":1500.47564274,""cost"":0,""type"":""pedestrian_path"",""fid"":18,""v/c"":0.50015854758},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2100579,-33.85594409999999,0],[151.2101237,-33.8558798,0],[151.21022,-33.8558567,0],[151.2104051,-33.855806,0],[151.2104841,-33.8557524,0],[151.2105543,-33.8556774,0],[151.2105893,-33.855604,0],[151.2105944,-33.8555396,0],[151.2105837,-33.8554863,0],[151.2105504,-33.8554191,0],[151.21049470000003,-33.85533,0],[151.210283,-33.8550402,0],[151.2102193,-33.855013599999985,0],[151.2101661,-33.8550009,0],[151.2101474,-33.8550013,0],[151.21010784216247,-33.85500209558999,0]]}}",1500.47564274,0,pedestrian_path,18,0.50015854758
"{""type"":""Feature"",""properties"":{""flow"":21036.28290309359,""cost"":0,""type"":""pedestrian_path"",""fid"":19,""v/c"":7.012094301031197},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2084426,-33.8614076,0],[151.2085429,-33.8612888,0]]}}",21036.28290309359,0,pedestrian_path,19,7.012094301031197
"{""type"":""Feature"",""properties"":{""flow"":17460.92672126188,""cost"":0,""type"":""pedestrian_path"",""fid"":20,""v/c"":5.820308907087293},""geometry"":{""type"":""LineString"",""coordinates"":[[151.2103788,-33.8614595,0],[151.2098858,-33.8614134,0],[151.2098858,-33.8614134,0]]}}",17460.92672126188,0,pedestrian_path,20,5.820308907087293
